index,Player,AAV
0,Mahomes,"$45,000,000"
1,Tannehill,"$29,500,000"
2,Tagovailoa,"$7,568,860"
3,Allen,"$43,005,667 "
4,Prescott,"$40,000,000 "
5,Lawrence,"$9,198,372 "
6,Wilson Z,"$8,787,670 "
8,Fields,"$4,717,989 "
11,Mills,"$1,304,383 "
15,Wilson R,"$48,517,647 "
16,Murray,"$46,100,000 "
18,Stafford,"$40,000,000 "
19,Cousins,"$35,000,000 "
20,Pickett,"$3,516,976 "
30,Goff,"$33,500,000"
33,Wentz,"$32,000,000 "
36,Murray,"$8,914,504 "
37,Brissett,"$15,000,000 "
38,Jones D,"$6,416,014 "
39,Brady,"$23,000,000 "
62,Tannehill,"$2,000,000 "
113,Smith,"$805,000 "
114,Heinicke,"$805,000 "
122,Allen,"$645,000 "
131,Rodgers,"$50,271,667 "
132,Ryan M,"$30,000,000 "
133,Dalton,"$3,000,000 "
134,Carr,"$40,500,000 "
136,Mariota,"$9,375,000 "
137,Wentz,"32,000,000"
138,Jackson,"$2,367,912 "
139,Mayfield,"$8,170,745 "
140,Herbert,"$6,644,689 "
141,Hurts,"$1,506,293 "
142,Burrow,"$9,047,534 "
143,Pickett,"$3,516,976 "
